Key,Source,Context,Changes,English,japanese,german
ArmorSpecialistRank3Desc,progression,skills,New,"-26% Armor Wearout",防具損耗率-26%,-26% Verschleiß von Rüstung
ArmorSpecialistRank4Desc,progression,skills,New,"-31% Armor Wearout",防具損耗率-31%,-31% Verschleiß von Rüstung
ArmorSpecialistRank5Desc,progression,skills,New,"-34% Armor Wearout",防具損耗率-34%,-34% Verschleiß von Rüstung
ArmorSpecialistRank1LongDesc,progression,skills,New,"Decrease the wearout of your armor by an additional 12%",防具の消耗率を12%減らします。,Verringere den Verschleiß deiner Rüstung um weitere 12%.
ArmorSpecialistRank2LongDesc,progression,skills,New,"Decrease the wearout of your armor by an additional 20%",防具の消耗率を20%減らします。,Verringere den Verschleiß deiner Rüstung um weitere 20%.
ArmorSpecialistRank3LongDesc,progression,skills,New,"Decrease the wearout of your armor by an additional 26%",防具の消耗率を26%減らします。,Verringere den Verschleiß deiner Rüstung um weitere 26%.
ArmorSpecialistRank4LongDesc,progression,skills,New,"Decrease the wearout of your armor by an additional 31%",防具の消耗率を31%減らします。,Verringere den Verschleiß deiner Rüstung um weitere 31%.
ArmorSpecialistRank5LongDesc,progression,skills,New,"Decrease the wearout of your armor by an additional 34%",防具の消耗率を34%減らします。,Verringere den Verschleiß deiner Rüstung um weitere 34%.

WeaponSpecialistName,progression,skills,New,Weapon Specialist,ウェポンスペシャリスト,Waffenspezialist
WeaponSpecialistDesc,progression,skills,New,"You have become more proficient at maintaining weapons. As a result they are more durable.",あなたは武器の取り扱いに熟達したことで、低い損耗で攻撃できるようになりました。,"Du hast gelernt, deine Waffen anständig zu warten. Dadurch verschleißen sie nun deutlich langsamer."
WeaponSpecialistRank1Desc,progression,skills,New,"-20% Weapon Wearout",武器損耗率-20%,-20% Verschleiß von Waffen
WeaponSpecialistRank2Desc,progression,skills,New,"-31% Weapon Wearout",武器損耗率-31%,-31% Verschleiß von Waffen
WeaponSpecialistRank3Desc,progression,skills,New,"-39% Weapon Wearout",武器損耗率-39%,-39% Verschleiß von Waffen
WeaponSpecialistRank4Desc,progression,skills,New,"-45% Weapon Wearout",武器損耗率-45%,-45% Verschleiß von Waffen
WeaponSpecialistRank5Desc,progression,skills,New,"-50% Weapon Wearout",武器損耗率-50%,-50% Verschleiß von Waffen
WeaponSpecialistRank1LongDesc,progression,skills,New,"Decrease the wearout of your weapon by an additional 20%",武器の消耗率を20%減らします。,Verringere den Verschleiß deiner Waffen um weitere 20%.
WeaponSpecialistRank2LongDesc,progression,skills,New,"Decrease the wearout of your weapon by an additional 31%",武器の消耗率を31%減らします。,Verringere den Verschleiß deiner Waffen um weitere 31%.
WeaponSpecialistRank3LongDesc,progression,skills,New,"Decrease the wearout of your weapon by an additional 39%",武器の消耗率を39%減らします。,Verringere den Verschleiß deiner Waffen um weitere 39%.
WeaponSpecialistRank4LongDesc,progression,skills,New,"Decrease the wearout of your weapon by an additional 45%",武器の消耗率を45%減らします。,Verringere den Verschleiß deiner Waffen um weitere 45%.
WeaponSpecialistRank5LongDesc,progression,skills,New,"Decrease the wearout of your weapon by an additional 50%",武器の消耗率を50%減らします。,Verringere den Verschleiß deiner Waffen um weitere 50%.

AttackSpeedName,progression,skills,New,Attack Speed,攻撃速度,Schlaghagel
AttackSpeedDesc,progression,skills,New,All those blows you've dealt evolved into a daily routine. Now you're able to attack even faster.,今までの打撃が日課になっている。今ではさらに速く攻撃できるようになった。,"All die ausgeteilten Hiebe sind für dich zu einer täglichen Routine geworden. Du kannst jetzt noch schneller angreifen."
AttackSpeedRank1Desc,progression,skills,New,+10% Melee Haste,攻撃速度+10%,+10% Nahkampftempo
AttackSpeedRank2Desc,progression,skills,New,+16% Melee Haste,攻撃速度+16%,+16% Nahkampftempo
AttackSpeedRank3Desc,progression,skills,New,+20% Melee Haste,攻撃速度+20%,+20% Nahkampftempo
AttackSpeedRank4Desc,progression,skills,New,+23% Melee Haste,攻撃速度+23%,+23% Nahkampftempo
AttackSpeedRank5Desc,progression,skills,New,+25% Melee Haste,攻撃速度+25%,+25% Nahkampftempo
AttackSpeedRank1LongDesc,progression,skills,New,Increase your Attack Speed with melee tools and weapons by 10%,あなたの攻撃速度を10%増加させます。,Erhöhe dein Angriffstempo mit allen Waffen und Werkzeugen im Nahkampf um 10%.
AttackSpeedRank2LongDesc,progression,skills,New,Increase your Attack Speed with melee tools and weapons by 16%,あなたの攻撃速度を16%増加させます。,Erhöhe dein Angriffstempo mit allen Waffen und Werkzeugen im Nahkampf um 16%.
AttackSpeedRank3LongDesc,progression,skills,New,Increase your Attack Speed with melee tools and weapons by 20%,あなたの攻撃速度を20%増加させます。,Erhöhe dein Angriffstempo mit allen Waffen und Werkzeugen im Nahkampf um 20%.
AttackSpeedRank4LongDesc,progression,skills,New,Increase your Attack Speed with melee tools and weapons by 23%,あなたの攻撃速度を23%増加させます。,Erhöhe dein Angriffstempo mit allen Waffen und Werkzeugen im Nahkampf um 23%.
AttackSpeedRank5LongDesc,progression,skills,New,Increase your Attack Speed with melee tools and weapons by 25%,あなたの攻撃速度を25%増加させます。,Erhöhe dein Angriffstempo mit allen Waffen und Werkzeugen im Nahkampf um 25%.

MeleeDamageName,progression,skills,New,Melee Damage,近接ダメージ,Nahkampfschaden
MeleeDamageDesc,progression,skills,New,Deal more melee damage.,より多くの近接ダメージを与える。,Verursache mehr Schaden im Nahkampf.
MeleeDamageRank1Desc,progression,skills,New,+10% Melee Damage,近接攻撃力+10%,+10% Nahkampfschaden
MeleeDamageRank2Desc,progression,skills,New,+16% Melee Damage,近接攻撃力+16%,+16% Nahkampfschaden
MeleeDamageRank3Desc,progression,skills,New,+20% Melee Damage,近接攻撃力+20%,+20% Nahkampfschaden
MeleeDamageRank4Desc,progression,skills,New,+23% Melee Damage,近接攻撃力+23%,+23% Nahkampfschaden
MeleeDamageRank5Desc,progression,skills,New,+25% Melee Damage,近接攻撃力+25%,+25% Nahkampfschaden
MeleeDamageRank1LongDesc,progression,skills,New,Increase your Melee Damage by 10%,あなたの近接攻撃力を10%増加させます。,Erhöhe deinen Nahkampfschaden um 10%.
MeleeDamageRank2LongDesc,progression,skills,New,Increase your Melee Damage by 16%,あなたの近接攻撃力を16%増加させます。,Erhöhe deinen Nahkampfschaden um 16%.
MeleeDamageRank3LongDesc,progression,skills,New,Increase your Melee Damage by 20%,あなたの近接攻撃力を20%増加させます。,Erhöhe deinen Nahkampfschaden um 20%.
MeleeDamageRank4LongDesc,progression,skills,New,Increase your Melee Damage by 23%,あなたの近接攻撃力を23%増加させます。,Erhöhe deinen Nahkampfschaden um 23%.
MeleeDamageRank5LongDesc,progression,skills,New,Increase your Melee Damage by 25%,あなたの近接攻撃力を25%増加させます。,Erhöhe deinen Nahkampfschaden um 25%.

WeaponRangeName,progression,skills,New,Weapon Range,ウェポンレンジ,Waffenreichweite
WeaponRangeDesc,progression,skills,New,Increase the effective shot range of all ranged weapons.,すべての射撃武器の有効射程距離を拡張します。,Erhöhe die effektive Reichweite deiner Fernkampfwaffen.
WeaponRangeRank1Desc,progression,skills,New,+10% Range,射程距離+10%,+10% Reichweite
WeaponRangeRank2Desc,progression,skills,New,+16% Range,射程距離+16%,+16% Reichweite
WeaponRangeRank3Desc,progression,skills,New,+20% Range,射程距離+20%,+20% Reichweite
WeaponRangeRank4Desc,progression,skills,New,+23% Range,射程距離+23%,+23% Reichweite
WeaponRangeRank5Desc,progression,skills,New,+25% Range,射程距離+25%,+25% Reichweite
WeaponRangeRank1LongDesc,progression,skills,New,Shoot 10% farther before the damage of your weapons starts to fall off.,武器の射程距離を10%延長させます。,"Du kannst 10% weiter schießen, bevor sich der Schaden deiner Waffen verringert."
WeaponRangeRank2LongDesc,progression,skills,New,Shoot 16% farther before the damage of your weapons starts to fall off.,武器の射程距離を16%延長させます。,"Du kannst 16% weiter schießen, bevor sich der Schaden deiner Waffen verringert."
WeaponRangeRank3LongDesc,progression,skills,New,Shoot 20% farther before the damage of your weapons starts to fall off.,武器の射程距離を20%延長させます。,"Du kannst 20% weiter schießen, bevor sich der Schaden deiner Waffen verringert."
WeaponRangeRank4LongDesc,progression,skills,New,Shoot 23% farther before the damage of your weapons starts to fall off.,武器の射程距離を23%延長させます。,"Du kannst 23% weiter schießen, bevor sich der Schaden deiner Waffen verringert."
WeaponRangeRank5LongDesc,progression,skills,New,Shoot 25% farther before the damage of your weapons starts to fall off.,武器の射程距離を25%延長させます。,"Du kannst 25% weiter schießen, bevor sich der Schaden deiner Waffen verringert."

FireRateName,progression,skills,New,Fire Rate,ファイアレート,Feuerrate
FireRateDesc,progression,skills,New,Increase your fire rate.,すべての射撃武器の連射速度を上昇させます。,Erhöhe deine Feuerrate
FireRateRank1Desc,progression,skills,New,+10% Fire Rate,連射速度+10%,+10% Feuerrate
FireRateRank2Desc,progression,skills,New,+16% Fire Rate,連射速度+16%,+16% Feuerrate
FireRateRank3Desc,progression,skills,New,+20% Fire Rate,連射速度+20%,+20% Feuerrate
FireRateRank4Desc,progression,skills,New,+23% Fire Rate,連射速度+23%,+23% Feuerrate
FireRateRank5Desc,progression,skills,New,+25% Fire Rate,連射速度+25%,+25% Feuerrate
FireRateRank1LongDesc,progression,skills,New,Increase your Fire Rate by 10%,武器の連射速度を10%上昇させます。, Erhöhe deine Feuerrate um 10%.
FireRateRank2LongDesc,progression,skills,New,Increase your Fire Rate by 16%,武器の連射速度を16%上昇させます。, Erhöhe deine Feuerrate um 16%.
FireRateRank3LongDesc,progression,skills,New,Increase your Fire Rate by 20%,武器の連射速度を20%上昇させます。, Erhöhe deine Feuerrate um 20%.
FireRateRank4LongDesc,progression,skills,New,Increase your Fire Rate by 23%,武器の連射速度を23%上昇させます。, Erhöhe deine Feuerrate um 23%.
FireRateRank5LongDesc,progression,skills,New,Increase your Fire Rate by 25%,武器の連射速度を25%上昇させます。, Erhöhe deine Feuerrate um 25%.

WeaponHandlingName,progression,skills,New,Weapon Handling,武器操作,Waffenkunde
WeaponHandlingDesc,progression,skills,New,Increase your weapon handling,すべての射撃武器の取り回しを上昇させます。,Verbessere deinen Umgang mit Waffen.
WeaponHandlingRank1Desc,progression,skills,New,+10% Weapon Handling,取り回し+10%,+10% Waffenkunde
WeaponHandlingRank2Desc,progression,skills,New,+16% Weapon Handling,取り回し+16%,+16% Waffenkunde
WeaponHandlingRank3Desc,progression,skills,New,+20% Weapon Handling,取り回し+20%,+20% Waffenkunde
WeaponHandlingRank4Desc,progression,skills,New,+23% Weapon Handling,取り回し+23%,+23% Waffenkunde
WeaponHandlingRank5Desc,progression,skills,New,+25% Weapon Handling,取り回し+25%,+25% Waffenkunde
WeaponHandlingRank1LongDesc,progression,skills,New,Increase your weapon handling by 10%,ADS時の精度収束速度を10%上昇させます。,Erhöhe deine Waffenkunde um 10%.
WeaponHandlingRank2LongDesc,progression,skills,New,Increase your weapon handling by 16%,ADS時の精度収束速度を16%上昇させます。,Erhöhe deine Waffenkunde um 16%.
WeaponHandlingRank3LongDesc,progression,skills,New,Increase your weapon handling by 20%,ADS時の精度収束速度を20%上昇させます。,Erhöhe deine Waffenkunde um 20%.
WeaponHandlingRank4LongDesc,progression,skills,New,Increase your weapon handling by 23%,ADS時の精度収束速度を23%上昇させます。,Erhöhe deine Waffenkunde um 23%.
WeaponHandlingRank5LongDesc,progression,skills,New,Increase your weapon handling by 25%,ADS時の精度収束速度を25%上昇させます。,Erhöhe deine Waffenkunde um 25%.

LargerMagazinesName,progression,skills,New,Larger Magazines,弾倉拡張,Größere Magazine
LargerMagazinesDesc,progression,skills,New,Increase your clip size.,すべての射撃武器の装弾数を拡張させます。,Erhöhe die Magazingröße deiner Schusswaffen.
LargerMagazinesRank1Desc,progression,skills,New,+10% Larger Magazines,弾倉サイズ+10%,10+% Größere Magazine
LargerMagazinesRank2Desc,progression,skills,New,+16% Larger Magazines,弾倉サイズ+16%,+16% Größere Magazine
LargerMagazinesRank3Desc,progression,skills,New,+20% Larger Magazines,弾倉サイズ+20%,+20% Größere Magazine
LargerMagazinesRank4Desc,progression,skills,New,+23% Larger Magazines,弾倉サイズ+23%,+23% Größere Magazine
LargerMagazinesRank5Desc,progression,skills,New,+25% Larger Magazines,弾倉サイズ+25%,+25% Größere Magazine
LargerMagazinesRank1LongDesc,progression,skills,New,Increase your Magazine Size by 10%,射撃武器の装弾数を10%拡張させます。,Erhöhe die Magazingröße deiner Schusswaffen um 10%.
LargerMagazinesRank2LongDesc,progression,skills,New,Increase your Magazine Size by 16%,射撃武器の装弾数を16%拡張させます。,Erhöhe die Magazingröße deiner Schusswaffen um 16%.
LargerMagazinesRank3LongDesc,progression,skills,New,Increase your Magazine Size by 20%,射撃武器の装弾数を20%拡張させます。,Erhöhe die Magazingröße deiner Schusswaffen um 20%.
LargerMagazinesRank4LongDesc,progression,skills,New,Increase your Magazine Size by 23%,射撃武器の装弾数を23%拡張させます。,Erhöhe die Magazingröße deiner Schusswaffen um 23%.
LargerMagazinesRank5LongDesc,progression,skills,New,Increase your Magazine Size by 25%,射撃武器の装弾数を25%拡張させます。,Erhöhe die Magazingröße deiner Schusswaffen um 25%.

ReloadSpeedName,progression,skills,New,Reload Speed,リロードスピード,Nachladetempo
ReloadSpeedDesc,progression,skills,New,All this reloading earned you some nimble fingers. Reload even faster now.,指先が器用になり、リロードがさらに速くなった。,"All das Nachladen hat dir ziemlich flinke Finger verschafft. Du kannst jetzt noch schneller nachladen."
ReloadSpeedRank1Desc,progression,skills,New,+10% Reload Speed,リロード速度+10%,+10% Nachladetempo
ReloadSpeedRank2Desc,progression,skills,New,+16% Reload Speed,リロード速度+16%,+16% Nachladetempo
ReloadSpeedRank3Desc,progression,skills,New,+20% Reload Speed,リロード速度+20%,+20% Nachladetempo
ReloadSpeedRank4Desc,progression,skills,New,+23% Reload Speed,リロード速度+23%,+23% Nachladetempo
ReloadSpeedRank5Desc,progression,skills,New,+25% Reload Speed,リロード速度+25%,+25% Nachladetempo
ReloadSpeedRank1LongDesc,progression,skills,New,Increase your reload speed by 10%,射撃武器の再装填を10%高速化させます。,Erhöhe dein Tempo beim Nachladen um 10%.
ReloadSpeedRank2LongDesc,progression,skills,New,Increase your reload speed by 16%,射撃武器の再装填を16%高速化させます。,Erhöhe dein Tempo beim Nachladen um 16%.
ReloadSpeedRank3LongDesc,progression,skills,New,Increase your reload speed by 20%,射撃武器の再装填を20%高速化させます。,Erhöhe dein Tempo beim Nachladen um 20%.
ReloadSpeedRank4LongDesc,progression,skills,New,Increase your reload speed by 23%,射撃武器の再装填を23%高速化させます。,Erhöhe dein Tempo beim Nachladen um 23%.
ReloadSpeedRank5LongDesc,progression,skills,New,Increase your reload speed by 25%,射撃武器の再装填を25%高速化させます。,Erhöhe dein Tempo beim Nachladen um 25%.

RangedDamageName,progression,skills,New,Ranged Damage,遠距離ダメージ,Fernkampfschaden
RangedDamageDesc,progression,skills,New,Deal more ranged damage.,遠距離武器のダメージを上昇させる。,Verursache mehr Fernkampfschaden.
RangedDamageRank1Desc,progression,skills,New,+10% Ranged Damage,射撃ダメージ+10%,+10% Fernkampfschaden
RangedDamageRank2Desc,progression,skills,New,+16% Ranged Damage,射撃ダメージ+16%,+16% Fernkampfschaden
RangedDamageRank3Desc,progression,skills,New,+20% Ranged Damage,射撃ダメージ+20%,+20% Fernkampfschaden
RangedDamageRank4Desc,progression,skills,New,+23% Ranged Damage,射撃ダメージ+23%,+23% Fernkampfschaden
RangedDamageRank5Desc,progression,skills,New,+25% Ranged Damage,射撃ダメージ+25%,+25% Fernkampfschaden
RangedDamageRank1LongDesc,progression,skills,New,Increase your Ranged Damage by 10%,遠距離武器のダメージを10%上昇させます。,Erhöhe deinen Fernkampfschaden um 10%.
RangedDamageRank2LongDesc,progression,skills,New,Increase your Ranged Damage by 16%,遠距離武器のダメージを16%上昇させます。,Erhöhe deinen Fernkampfschaden um 16%.
RangedDamageRank3LongDesc,progression,skills,New,Increase your Ranged Damage by 20%,遠距離武器のダメージを20%上昇させます。,Erhöhe deinen Fernkampfschaden um 20%.
RangedDamageRank4LongDesc,progression,skills,New,Increase your Ranged Damage by 23%,遠距離武器のダメージを23%上昇させます。,Erhöhe deinen Fernkampfschaden um 23%.
RangedDamageRank5LongDesc,progression,skills,New,Increase your Ranged Damage by 25%,遠距離武器のダメージを25%上昇させます。,Erhöhe deinen Fernkampfschaden um 25%.

MaximumHealthName,progression,skills,New,Maximum Health,最大体力,Maximale Lebensenergie
MaximumHealthDesc,progression,skills,New,Increase your hardiness and thus your maximum health.,体力を高めて、最大の健康を手に入れましょう。,Erhöhe deine Zähigkeit und somit deine maximale Lebensenergie.
MaximumHealthRank1Desc,progression,skills,New,+6 Maximum Health,最大体力+6,Maximale Lebensenergie +6
MaximumHealthRank2Desc,progression,skills,New,+12 Maximum Health,最大体力+12,Maximale Lebensenergie +12
MaximumHealthRank3Desc,progression,skills,New,+18 Maximum Health,最大体力+18,Maximale Lebensenergie +18
MaximumHealthRank4Desc,progression,skills,New,+24 Maximum Health,最大体力+24,Maximale Lebensenergie +24
MaximumHealthRank5Desc,progression,skills,New,+30 Maximum Health,最大体力+30,Maximale Lebensenergie +30
MaximumHealthRank6Desc,progression,skills,New,+34 Maximum Health,最大体力+34,Maximale Lebensenergie +34
MaximumHealthRank7Desc,progression,skills,New,+38 Maximum Health,最大体力+38,Maximale Lebensenergie +38
MaximumHealthRank8Desc,progression,skills,New,+42 Maximum Health,最大体力+42,Maximale Lebensenergie +42
MaximumHealthRank9Desc,progression,skills,New,+46 Maximum Health,最大体力+46,Maximale Lebensenergie +46
MaximumHealthRank10Desc,progression,skills,New,+50 Maximum Health,最大体力+50,Maximale Lebensenergie +50
MaximumHealthRank1LongDesc,progression,skills,New,Increase your maximum health by 6,あなたの最大体力を6増加させます。,Erhöhe deine maximale Lebensenergie um 6.
MaximumHealthRank2LongDesc,progression,skills,New,Increase your maximum health by 12,あなたの最大体力を12増加させます。,Erhöhe deine maximale Lebensenergie um 12.
MaximumHealthRank3LongDesc,progression,skills,New,Increase your maximum health by 18,あなたの最大体力を18増加させます。,Erhöhe deine maximale Lebensenergie um 18.
